dataset_id,table,role,column,column_present,n_rows,n_null,n_empty_string,n_special_token,n_missing_total,pct_missing,n_suspicious,suspicious_rule,n_nonstandard_format
fungitastic,full/Train,observation_id,observationID,True,433702,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,full/Train,image_id,,False,433702,,,,,,,,
fungitastic,full/Train,image_file,filename,True,433702,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,full/Train,url,,False,433702,,,,,,,,
fungitastic,full/Train,taxon_label,,False,433702,,,,,,,,
fungitastic,full/Train,species,species,True,433702,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,full/Train,genus,genus,True,433702,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,full/Train,family,family,True,433702,3547.0,0.0,0.0,3547.0,0.818,0.0,,0.0
fungitastic,full/Train,order,order,True,433702,422.0,0.0,0.0,422.0,0.097,0.0,,0.0
fungitastic,full/Train,date,eventDate,True,433702,0.0,0.0,0.0,0.0,0.0,0.0,"date unparsable or year outside [1800, current]; non-standard = not ISO 8601",0.0
fungitastic,full/Train,latitude,latitude,True,433702,1.0,0.0,0.0,1.0,0.0,6.0,"lat outside [-90,90], unparsable, or (lat,lon)==(0,0)",0.0
fungitastic,full/Train,longitude,longitude,True,433702,1.0,0.0,0.0,1.0,0.0,0.0,"lon outside [-180,180] or unparsable",0.0
fungitastic,full/Train,country,countryCode,True,433702,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,full/Train,region,region,True,433702,1710.0,0.0,0.0,1710.0,0.394,0.0,,0.0
fungitastic,full/Train,substrate,substrate,True,433702,30623.0,0.0,0.0,30623.0,7.061,0.0,,0.0
fungitastic,full/Train,habitat,habitat,True,433702,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,full/Train,climate,,False,433702,,,,,,,,
fungitastic,full/Train,license,,False,433702,,,,,,,,
fungitastic,full/Train,author,,False,433702,,,,,,,,
fungitastic,full/Train,provider,,False,433702,,,,,,,,
fungitastic,full_union,observation_id,observationID,True,633114,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,full_union,image_id,,False,633114,,,,,,,,
fungitastic,full_union,image_file,filename,True,633114,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,full_union,url,,False,633114,,,,,,,,
fungitastic,full_union,taxon_label,,False,633114,,,,,,,,
fungitastic,full_union,species,species,True,633114,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,full_union,genus,genus,True,633114,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,full_union,family,family,True,633114,5696.0,0.0,0.0,5696.0,0.9,0.0,,0.0
fungitastic,full_union,order,order,True,633114,842.0,0.0,0.0,842.0,0.133,0.0,,0.0
fungitastic,full_union,date,eventDate,True,633114,0.0,0.0,0.0,0.0,0.0,0.0,"date unparsable or year outside [1800, current]; non-standard = not ISO 8601",0.0
fungitastic,full_union,latitude,latitude,True,633114,7.0,0.0,0.0,7.0,0.001,6.0,"lat outside [-90,90], unparsable, or (lat,lon)==(0,0)",0.0
fungitastic,full_union,longitude,longitude,True,633114,7.0,0.0,0.0,7.0,0.001,0.0,"lon outside [-180,180] or unparsable",0.0
fungitastic,full_union,country,countryCode,True,633114,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,full_union,region,region,True,633114,2253.0,0.0,0.0,2253.0,0.356,0.0,,0.0
fungitastic,full_union,substrate,substrate,True,633114,30686.0,0.0,0.0,30686.0,4.847,0.0,,0.0
fungitastic,full_union,habitat,habitat,True,633114,7.0,0.0,0.0,7.0,0.001,0.0,,0.0
fungitastic,full_union,climate,,False,633114,,,,,,,,
fungitastic,full_union,license,,False,633114,,,,,,,,
fungitastic,full_union,author,,False,633114,,,,,,,,
fungitastic,full_union,provider,,False,633114,,,,,,,,
fungitastic,mini_union,observation_id,observationID,True,67634,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,mini_union,image_id,,False,67634,,,,,,,,
fungitastic,mini_union,image_file,filename,True,67634,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,mini_union,url,,False,67634,,,,,,,,
fungitastic,mini_union,taxon_label,,False,67634,,,,,,,,
fungitastic,mini_union,species,species,True,67634,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,mini_union,genus,genus,True,67634,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,mini_union,family,family,True,67634,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,mini_union,order,order,True,67634,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,mini_union,date,eventDate,True,67634,0.0,0.0,0.0,0.0,0.0,0.0,"date unparsable or year outside [1800, current]; non-standard = not ISO 8601",0.0
fungitastic,mini_union,latitude,latitude,True,67634,1.0,0.0,0.0,1.0,0.001,0.0,"lat outside [-90,90], unparsable, or (lat,lon)==(0,0)",0.0
fungitastic,mini_union,longitude,longitude,True,67634,1.0,0.0,0.0,1.0,0.001,0.0,"lon outside [-180,180] or unparsable",0.0
fungitastic,mini_union,country,countryCode,True,67634,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,mini_union,region,region,True,67634,161.0,0.0,0.0,161.0,0.238,0.0,,0.0
fungitastic,mini_union,substrate,substrate,True,67634,1520.0,0.0,0.0,1520.0,2.247,0.0,,0.0
fungitastic,mini_union,habitat,habitat,True,67634,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,mini_union,climate,,False,67634,,,,,,,,
fungitastic,mini_union,license,,False,67634,,,,,,,,
fungitastic,mini_union,author,,False,67634,,,,,,,,
fungitastic,mini_union,provider,,False,67634,,,,,,,,
fungitastic,fewshot_union,observation_id,observationID,True,12015,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,fewshot_union,image_id,,False,12015,,,,,,,,
fungitastic,fewshot_union,image_file,filename,True,12015,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,fewshot_union,url,,False,12015,,,,,,,,
fungitastic,fewshot_union,taxon_label,,False,12015,,,,,,,,
fungitastic,fewshot_union,species,species,True,12015,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,fewshot_union,genus,genus,True,12015,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
fungitastic,fewshot_union,family,family,True,12015,281.0,0.0,0.0,281.0,2.339,0.0,,0.0
fungitastic,fewshot_union,order,order,True,12015,148.0,0.0,0.0,148.0,1.232,0.0,,0.0
fungitastic,fewshot_union,date,eventDate,True,12015,0.0,0.0,0.0,0.0,0.0,0.0,"date unparsable or year outside [1800, current]; non-standard = not ISO 8601",0.0
fungitastic,fewshot_union,latitude,latitude,True,12015,3.0,0.0,0.0,3.0,0.025,0.0,"lat outside [-90,90], unparsable, or (lat,lon)==(0,0)",0.0
fungitastic,fewshot_union,longitude,longitude,True,12015,3.0,0.0,0.0,3.0,0.025,0.0,"lon outside [-180,180] or unparsable",0.0
